ダウンロードした時刻：2021/04/30 04:37:35

,京都,京都,京都
年月,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
1872/3,,0,1
1873/3,,0,1
1874/3,,0,1
1875/3,,0,1
1876/3,,0,1
1877/3,,0,1
1878/3,,0,1
1879/3,,0,1
1880/3,,0,1
1881/3,4.7,8,1
1882/3,5.5,8,1
1883/3,5.6,8,1
1884/3,5.6,8,1
1885/3,3.8,8,1
1886/3,7.0,8,1
1887/3,5.3,8,1
1888/3,7.5,8,1
1889/3,6.6,8,1
1890/3,8.6,8,1
1891/3,7.8,8,1
1892/3,4.7,8,1
1893/3,5.0,8,1
1894/3,7.5,8,1
1895/3,6.8,8,1
1896/3,4.6,8,1
1897/3,6.2,8,1
1898/3,5.4,8,1
1899/3,7.1,8,1
1900/3,5.2,8,1
1901/3,5.2,8,1
1902/3,7.8,8,1
1903/3,8.5,8,1
1904/3,6.3,8,1
1905/3,6.4,8,1
1906/3,6.6,8,1
1907/3,5.4,8,1
1908/3,6.2,8,1
1909/3,5.6,8,1
1910/3,4.7,8,1
1911/3,7.7,8,1
1912/3,7.0,8,1
1913/3,4.6,8,1
1914/3,9.0,8,2
1915/3,5.6,8,2
1916/3,4.9,8,2
1917/3,6.1,8,2
1918/3,6.5,8,2
1919/3,7.5,8,2
1920/3,7.2,8,2
1921/3,5.3,8,2
1922/3,5.8,8,2
1923/3,8.1,8,2
1924/3,4.0,8,2
1925/3,5.3,8,2
1926/3,5.4,8,2
1927/3,6.1,8,2
1928/3,6.4,8,2
1929/3,5.9,8,2
1930/3,8.3,8,2
1931/3,6.8,8,2
1932/3,5.8,8,2
1933/3,5.2,8,2
1934/3,5.5,8,2
1935/3,6.8,8,2
1936/3,4.5,8,2
1937/3,7.3,8,2
1938/3,9.0,8,2
1939/3,6.8,8,2
1940/3,6.3,8,2
1941/3,7.7,8,2
1942/3,9.9,8,2
1943/3,6.1,8,2
1944/3,5.7,8,2
1945/3,6.6,8,2
1946/3,6.1,8,2
1947/3,5.4,8,2
1948/3,6.4,8,2
1949/3,5.5,8,2
1950/3,6.8,8,2
1951/3,7.4,8,2
1952/3,6.8,8,2
1953/3,8.6,8,2
1954/3,7.6,8,2
1955/3,9.0,8,2
1956/3,8.3,8,2
1957/3,5.2,8,2
1958/3,7.5,8,2
1959/3,9.0,8,2
1960/3,8.9,8,2
1961/3,8.0,8,2
1962/3,7.3,8,2
1963/3,7.0,8,2
1964/3,6.6,8,2
1965/3,5.5,8,2
1966/3,8.5,8,2
1967/3,7.7,8,2
1968/3,8.0,8,2
1969/3,6.9,8,2
1970/3,5.0,8,2
1971/3,7.4,8,2
1972/3,8.8,8,2
1973/3,7.8,8,2
1974/3,7.0,8,2
1975/3,7.4,8,2
1976/3,7.9,8,2
1977/3,8.7,8,2
1978/3,7.6,8,2
1979/3,8.0,8,2
1980/3,7.3,8,2
1981/3,8.3,8,2
1982/3,8.6,8,2
1983/3,7.8,8,2
1984/3,5.1,8,2
1985/3,8.5,8,2
1986/3,7.6,8,2
1987/3,8.2,8,2
1988/3,7.3,8,2
1989/3,8.2,8,2
1990/3,9.3,8,2
1991/3,9.4,8,2
1992/3,9.7,8,2
1993/3,7.6,8,2
1994/3,7.1,8,2
1995/3,8.6,8,2
1996/3,7.7,8,2
1997/3,9.3,8,2
1998/3,9.7,8,2
1999/3,9.9,8,2
2000/3,7.5,8,2
2001/3,8.6,8,2
2002/3,10.3,8,2
2003/3,7.3,8,2
2004/3,9.1,8,2
2005/3,7.7,8,2
2006/3,7.5,8,2
2007/3,8.6,8,2
2008/3,9.6,8,2
2009/3,8.8,8,2
2010/3,8.5,8,2
2011/3,6.8,8,2
2012/3,8.3,5,2
2013/3,9.7,8,2
2014/3,9.0,8,2
2015/3,9.4,8,2
2016/3,9.9,8,2
2017/3,8.2,8,2
2018/3,10.9,8,2
2019/3,9.6,8,2
2020/3,10.6,8,2
2021/3,11.6,8,2
