ダウンロードした時刻：2021/04/16 06:47:35

,京都,京都,京都
年月,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
1880/11,8.2,8,1
1880/12,2.4,8,1
1881/1,0.5,8,1
1881/2,2.5,8,1
1881/3,4.7,8,1
1881/11,10.4,8,1
1881/12,3.8,8,1
1882/1,4.3,8,1
1882/2,4.4,8,1
1882/3,5.5,8,1
1882/11,9.3,8,1
1882/12,2.9,8,1
1883/1,2.3,8,1
1883/2,3.1,8,1
1883/3,5.6,8,1
1883/11,9.0,8,1
1883/12,3.5,8,1
1884/1,1.9,8,1
1884/2,1.6,8,1
1884/3,5.6,8,1
1884/11,7.1,8,1
1884/12,2.6,8,1
1885/1,0.8,8,1
1885/2,1.2,8,1
1885/3,3.8,8,1
1885/11,9.8,8,1
1885/12,5.1,8,1
1886/1,1.4,8,1
1886/2,1.0,8,1
1886/3,7.0,8,1
1886/11,10.2,8,1
1886/12,3.9,8,1
1887/1,3.5,8,1
1887/2,2.9,8,1
1887/3,5.3,8,1
1887/11,9.7,8,1
1887/12,4.6,8,1
1888/1,2.9,8,1
1888/2,1.7,8,1
1888/3,7.5,8,1
1888/11,11.7,8,1
1888/12,5.3,8,1
1889/1,2.1,8,1
1889/2,2.6,8,1
1889/3,6.6,8,1
1889/11,9.1,8,1
1889/12,4.9,8,1
1890/1,3.3,8,1
1890/2,6.6,8,1
1890/3,8.6,8,1
1890/11,10.5,8,1
1890/12,9.0,8,1
1891/1,2.0,8,1
1891/2,3.8,8,1
1891/3,7.8,8,1
1891/11,10.1,8,1
1891/12,4.9,8,1
1892/1,2.3,8,1
1892/2,2.8,8,1
1892/3,4.7,8,1
1892/11,8.7,8,1
1892/12,2.0,8,1
1893/1,1.9,8,1
1893/2,0.8,8,1
1893/3,5.0,8,1
1893/11,8.1,8,1
1893/12,3.0,8,1
1894/1,1.9,8,1
1894/2,2.5,8,1
1894/3,7.5,8,1
1894/11,10.7,8,1
1894/12,4.1,8,1
1895/1,1.4,8,1
1895/2,2.3,8,1
1895/3,6.8,8,1
1895/11,8.8,8,1
1895/12,4.2,8,1
1896/1,2.5,8,1
1896/2,2.9,8,1
1896/3,4.6,8,1
1896/11,9.3,8,1
1896/12,4.0,8,1
1897/1,3.6,8,1
1897/2,2.9,8,1
1897/3,6.2,8,1
1897/11,10.0,8,1
1897/12,2.7,8,1
1898/1,3.2,8,1
1898/2,3.9,8,1
1898/3,5.4,8,1
1898/11,11.3,8,1
1898/12,5.5,8,1
1899/1,2.3,8,1
1899/2,4.0,8,1
1899/3,7.1,8,1
1899/11,7.0,8,1
1899/12,5.0,8,1
1900/1,1.5,8,1
1900/2,2.6,8,1
1900/3,5.2,8,1
1900/11,10.3,8,1
1900/12,4.3,8,1
1901/1,4.2,8,1
1901/2,1.6,8,1
1901/3,5.2,8,1
1901/11,8.8,8,1
1901/12,3.3,8,1
1902/1,1.7,8,1
1902/2,2.4,8,1
1902/3,7.8,8,1
1902/11,10.7,8,1
1902/12,6.6,8,1
1903/1,3.8,8,1
1903/2,3.5,8,1
1903/3,8.5,8,1
1903/11,8.3,8,1
1903/12,3.3,8,1
1904/1,1.5,8,1
1904/2,4.0,8,1
1904/3,6.3,8,1
1904/11,7.4,8,1
1904/12,5.0,8,1
1905/1,4.3,8,1
1905/2,2.3,8,1
1905/3,6.4,8,1
1905/11,9.7,8,1
1905/12,6.8,8,1
1906/1,1.6,8,1
1906/2,3.3,8,1
1906/3,6.6,8,1
1906/11,8.3,8,1
1906/12,4.5,8,1
1907/1,3.8,8,1
1907/2,1.2,8,1
1907/3,5.4,8,1
1907/11,10.7,8,1
1907/12,3.2,8,1
1908/1,3.2,8,1
1908/2,2.4,8,1
1908/3,6.2,8,1
1908/11,7.9,8,1
1908/12,4.6,8,1
1909/1,2.5,8,1
1909/2,2.0,8,1
1909/3,5.6,8,1
1909/11,9.2,8,1
1909/12,3.6,8,1
1910/1,4.4,8,1
1910/2,2.0,8,1
1910/3,4.7,8,1
1910/11,9.3,8,1
1910/12,3.0,8,1
1911/1,2.8,8,1
1911/2,3.6,8,1
1911/3,7.7,8,1
1911/11,11.1,8,1
1911/12,4.2,8,1
1912/1,2.3,8,1
1912/2,5.9,8,1
1912/3,7.0,8,1
1912/11,8.8,8,1
1912/12,4.4,8,1
1913/1,1.8,8,1
1913/2,3.3,8,1
1913/3,4.6,8,1
1913/11,9.2,8,1
1913/12,4.8,8,2
1914/1,3.5,8,2
1914/2,4.1,8,2
1914/3,9.0,8,2
1914/11,11.8,8,2
1914/12,5.1,8,2
1915/1,3.2,8,2
1915/2,4.2,8,2
1915/3,5.6,8,2
1915/11,11.6,8,2
1915/12,5.3,8,2
1916/1,4.8,8,2
1916/2,4.5,8,2
1916/3,4.9,8,2
1916/11,12.5,8,2
1916/12,6.2,8,2
1917/1,1.4,8,2
1917/2,2.7,8,2
1917/3,6.1,8,2
1917/11,7.4,8,2
1917/12,2.9,8,2
1918/1,1.0,8,2
1918/2,3.1,8,2
1918/3,6.5,8,2
1918/11,9.6,8,2
1918/12,4.4,8,2
1919/1,2.9,8,2
1919/2,4.0,8,2
1919/3,7.5,8,2
1919/11,11.3,8,2
1919/12,4.8,8,2
1920/1,3.3,8,2
1920/2,3.1,8,2
1920/3,7.2,8,2
1920/11,11.2,8,2
1920/12,5.6,8,2
1921/1,3.6,8,2
1921/2,3.2,8,2
1921/3,5.3,8,2
1921/11,7.7,8,2
1921/12,4.9,8,2
1922/1,1.3,8,2
1922/2,6.5,8,2
1922/3,5.8,8,2
1922/11,10.4,8,2
1922/12,3.7,8,2
1923/1,1.5,8,2
1923/2,3.7,8,2
1923/3,8.1,8,2
1923/11,10.7,8,2
1923/12,5.9,8,2
1924/1,2.7,8,2
1924/2,3.7,8,2
1924/3,4.0,8,2
1924/11,8.2,8,2
1924/12,4.3,8,2
1925/1,2.4,8,2
1925/2,2.2,8,2
1925/3,5.3,8,2
1925/11,10.8,8,2
1925/12,5.6,8,2
1926/1,2.2,8,2
1926/2,3.8,8,2
1926/3,5.4,8,2
1926/11,8.8,8,2
1926/12,3.7,8,2
1927/1,2.7,8,2
1927/2,2.0,8,2
1927/3,6.1,8,2
1927/11,10.9,8,2
1927/12,5.8,8,2
1928/1,3.6,8,2
1928/2,2.9,8,2
1928/3,6.4,8,2
1928/11,11.1,8,2
1928/12,4.8,8,2
1929/1,1.7,8,2
1929/2,2.2,8,2
1929/3,5.9,8,2
1929/11,10.3,8,2
1929/12,8.4,8,2
1930/1,2.7,8,2
1930/2,4.8,8,2
1930/3,8.3,8,2
1930/11,8.9,8,2
1930/12,5.3,8,2
1931/1,3.4,8,2
1931/2,3.4,8,2
1931/3,6.8,8,2
1931/11,11.5,8,2
1931/12,5.7,8,2
1932/1,4.6,8,2
1932/2,3.0,8,2
1932/3,5.8,8,2
1932/11,10.1,8,2
1932/12,5.7,8,2
1933/1,2.7,8,2
1933/2,2.7,8,2
1933/3,5.2,8,2
1933/11,10.6,8,2
1933/12,5.5,8,2
1934/1,1.1,8,2
1934/2,2.5,8,2
1934/3,5.5,8,2
1934/11,9.2,8,2
1934/12,5.8,8,2
1935/1,3.2,8,2
1935/2,4.4,8,2
1935/3,6.8,8,2
1935/11,10.7,8,2
1935/12,5.1,8,2
1936/1,0.9,8,2
1936/2,1.4,8,2
1936/3,4.5,8,2
1936/11,10.2,8,2
1936/12,6.9,8,2
1937/1,4.0,8,2
1937/2,6.1,8,2
1937/3,7.3,8,2
1937/11,11.2,8,2
1937/12,4.5,8,2
1938/1,2.2,8,2
1938/2,2.4,8,2
1938/3,9.0,8,2
1938/11,9.1,8,2
1938/12,5.1,8,2
1939/1,2.0,8,2
1939/2,3.4,8,2
1939/3,6.8,8,2
