ダウンロードした時刻：2021/04/16 06:52:29

集計開始,集計終了,京都,京都,京都
年月日,年月日,平均気温(℃),平均気温(℃),平均気温(℃)
,,,品質情報,均質番号
1880/11/1,1880/11/10,9.5,8,1
1880/11/11,1880/11/20,8.3,8,1
1880/11/21,1880/11/30,6.7,8,1
1880/12/1,1880/12/10,3.9,8,1
1880/12/11,1880/12/20,3.2,8,1
1880/12/21,1880/12/31,0.3,8,1
1881/1/1,1881/1/10,1.4,8,1
1881/1/11,1881/1/20,0.5,8,1
1881/1/21,1881/1/31,-0.2,8,1
1881/2/1,1881/2/10,1.3,8,1
1881/2/11,1881/2/20,1.9,8,1
1881/2/21,1881/2/28,4.8,8,1
1881/3/1,1881/3/10,3.8,8,1
1881/3/11,1881/3/20,4.4,8,1
1881/3/21,1881/3/31,5.7,8,1
1881/11/1,1881/11/10,14.7,8,1
1881/11/11,1881/11/20,9.7,8,1
1881/11/21,1881/11/30,7.0,8,1
1881/12/1,1881/12/10,5.4,8,1
1881/12/11,1881/12/20,3.9,8,1
1881/12/21,1881/12/31,2.1,8,1
1882/1/1,1882/1/10,4.6,8,1
1882/1/11,1882/1/20,2.5,8,1
1882/1/21,1882/1/31,5.7,8,1
1882/2/1,1882/2/10,5.0,8,1
1882/2/11,1882/2/20,5.5,8,1
1882/2/21,1882/2/28,2.3,8,1
1882/3/1,1882/3/10,3.2,8,1
1882/3/11,1882/3/20,6.6,8,1
1882/3/21,1882/3/31,6.7,8,1
1882/11/1,1882/11/10,11.1,8,1
1882/11/11,1882/11/20,10.1,8,1
1882/11/21,1882/11/30,6.7,8,1
1882/12/1,1882/12/10,5.1,8,1
1882/12/11,1882/12/20,3.0,8,1
1882/12/21,1882/12/31,0.8,8,1
1883/1/1,1883/1/10,2.1,8,1
1883/1/11,1883/1/20,1.1,8,1
1883/1/21,1883/1/31,3.4,8,1
1883/2/1,1883/2/10,1.3,8,1
1883/2/11,1883/2/20,3.8,8,1
1883/2/21,1883/2/28,4.6,8,1
1883/3/1,1883/3/10,4.2,8,1
1883/3/11,1883/3/20,5.6,8,1
1883/3/21,1883/3/31,6.9,8,1
1883/11/1,1883/11/10,12.0,8,1
1883/11/11,1883/11/20,8.1,8,1
1883/11/21,1883/11/30,7.0,8,1
1883/12/1,1883/12/10,4.3,8,1
1883/12/11,1883/12/20,3.7,8,1
1883/12/21,1883/12/31,2.7,8,1
1884/1/1,1884/1/10,1.7,8,1
1884/1/11,1884/1/20,1.5,8,1
1884/1/21,1884/1/31,2.4,8,1
1884/2/1,1884/2/10,0.5,8,1
1884/2/11,1884/2/20,1.2,8,1
1884/2/21,1884/2/29,3.4,8,1
1884/3/1,1884/3/10,5.2,8,1
1884/3/11,1884/3/20,4.9,8,1
1884/3/21,1884/3/31,6.5,8,1
1884/11/1,1884/11/10,9.7,8,1
1884/11/11,1884/11/20,6.8,8,1
1884/11/21,1884/11/30,4.7,8,1
1884/12/1,1884/12/10,3.4,8,1
1884/12/11,1884/12/20,2.1,8,1
1884/12/21,1884/12/31,2.2,8,1
1885/1/1,1885/1/10,1.4,8,1
1885/1/11,1885/1/20,0.6,8,1
1885/1/21,1885/1/31,0.5,8,1
1885/2/1,1885/2/10,1.2,8,1
1885/2/11,1885/2/20,0.0,8,1
1885/2/21,1885/2/28,2.9,8,1
1885/3/1,1885/3/10,3.3,8,1
1885/3/11,1885/3/20,2.8,8,1
1885/3/21,1885/3/31,5.1,8,1
1885/11/1,1885/11/10,12.7,8,1
1885/11/11,1885/11/20,10.1,8,1
