avg_tempC,year,season
9.5,1881,early_Nov
8.3,1881,mid_Nov
6.7,1881,late_Nov
3.9,1881,early_Dec
3.2,1881,mid_Dec
0.3,1881,late_Dec
1.4,1881,early_Jan
0.5,1881,mid_Jan
-0.2,1881,late_Jan
1.3,1881,early_Feb
1.9,1881,mid_Feb
4.8,1881,late_Feb
3.8,1881,early_Mar
4.4,1881,mid_Mar
5.7,1881,late_Mar
14.7,1882,early_Nov
9.7,1882,mid_Nov
7,1882,late_Nov
5.4,1882,early_Dec
3.9,1882,mid_Dec
2.1,1882,late_Dec
4.6,1882,early_Jan
2.5,1882,mid_Jan
5.7,1882,late_Jan
5,1882,early_Feb
5.5,1882,mid_Feb
2.3,1882,late_Feb
3.2,1882,early_Mar
6.6,1882,mid_Mar
6.7,1882,late_Mar
11.1,1883,early_Nov
10.1,1883,mid_Nov
6.7,1883,late_Nov
5.1,1883,early_Dec
3,1883,mid_Dec
0.8,1883,late_Dec
2.1,1883,early_Jan
1.1,1883,mid_Jan
3.4,1883,late_Jan
1.3,1883,early_Feb
3.8,1883,mid_Feb
4.6,1883,late_Feb
4.2,1883,early_Mar
5.6,1883,mid_Mar
6.9,1883,late_Mar
12,1884,early_Nov
8.1,1884,mid_Nov
7,1884,late_Nov
4.3,1884,early_Dec
3.7,1884,mid_Dec
2.7,1884,late_Dec
1.7,1884,early_Jan
1.5,1884,mid_Jan
2.4,1884,late_Jan
0.5,1884,early_Feb
1.2,1884,mid_Feb
3.4,1884,late_Feb
5.2,1884,early_Mar
4.9,1884,mid_Mar
6.5,1884,late_Mar
9.7,1885,early_Nov
6.8,1885,mid_Nov
4.7,1885,late_Nov
3.4,1885,early_Dec
2.1,1885,mid_Dec
2.2,1885,late_Dec
1.4,1885,early_Jan
0.6,1885,mid_Jan
0.5,1885,late_Jan
1.2,1885,early_Feb
0,1885,mid_Feb
2.9,1885,late_Feb
3.3,1885,early_Mar
2.8,1885,mid_Mar
5.1,1885,late_Mar
12.7,1886,early_Nov
10.1,1886,mid_Nov
6.6,1886,late_Nov
5.9,1886,early_Dec
4.7,1886,mid_Dec
4.8,1886,late_Dec
1.8,1886,early_Jan
1.7,1886,mid_Jan
0.9,1886,late_Jan
0.8,1886,early_Feb
0.5,1886,mid_Feb
1.9,1886,late_Feb
6,1886,early_Mar
8.3,1886,mid_Mar
6.9,1886,late_Mar
