year,full_doy,first_doy,early_Nov,mid_Nov,late_Nov,early_Dec,mid_Dec,late_Dec,early_Jan,mid_Jan,late_Jan,early_Feb,mid_Feb,late_Feb,early_Mar,mid_Mar,late_Mar,avg_Nov,avg_Dec,avg_Jan,avg_Feb,avg_Mar
1881,112,"NA",9.5,8.3,6.7,3.9,3.2,0.3,1.4,0.5,-0.2,1.3,1.9,4.8,3.8,4.4,5.7,8.2,2.4,0.5,2.5,4.7
1882,97,"NA",14.7,9.7,7,5.4,3.9,2.1,4.6,2.5,5.7,5,5.5,2.3,3.2,6.6,6.7,10.4,3.8,4.3,4.4,5.5
1883,107,"NA",11.1,10.1,6.7,5.1,3,0.8,2.1,1.1,3.4,1.3,3.8,4.6,4.2,5.6,6.9,9.3,2.9,2.3,3.1,5.6
1884,109,"NA",12,8.1,7,4.3,3.7,2.7,1.7,1.5,2.4,0.5,1.2,3.4,5.2,4.9,6.5,9,3.5,1.9,1.6,5.6
1885,113,"NA",9.7,6.8,4.7,3.4,2.1,2.2,1.4,0.6,0.5,1.2,0,2.9,3.3,2.8,5.1,7.1,2.6,0.8,1.2,3.8
1886,108,"NA",12.7,10.1,6.6,5.9,4.7,4.8,1.8,1.7,0.9,0.8,0.5,1.9,6,8.3,6.9,9.8,5.1,1.4,1,7
1887,109,"NA",13.4,10.2,7.2,4.3,3.5,3.7,1.2,3.4,5.6,1.6,3.5,3.9,3.1,5.5,7.1,10.2,3.9,3.5,2.9,5.3
1888,107,"NA",12,8.1,9,6.6,4.2,3.1,3.3,3.6,1.8,1.4,1.4,2.5,5.4,6.9,9.9,9.7,4.6,2.9,1.7,7.5
1889,109,"NA",14.6,11.6,9,6.4,4.2,5.4,2.2,3.4,0.7,1.4,2.5,4.1,7.4,5.2,7.3,11.7,5.3,2.1,2.6,6.6
1890,98,"NA",9.7,8.2,9.4,4.8,5.5,4.5,3.1,3.6,3.1,5.8,8.6,5.1,6.3,8,11.2,9.1,4.9,3.3,6.6,8.6
1891,99,"NA",11.6,11.1,8.8,14,7.3,6,2.4,1.1,2.3,3.5,1.1,7.5,6.2,7.3,9.7,10.5,9,2,3.8,7.8
1892,115,"NA",12.6,10.8,6.9,6.4,3.6,4.5,3.3,1.1,2.6,2.8,2.8,3,5.9,4.5,4,10.1,4.9,2.3,2.8,4.7
1893,109,"NA",11.6,9.1,5.5,3.9,0.6,1.7,2.5,1.2,2.2,1.6,0.6,0,1.9,5.2,7.6,8.7,2,1.9,0.8,5
1894,98,"NA",11.3,6.7,6.3,4.3,2,2.8,2.4,2.5,1,1.9,2.3,3.5,6.4,5.7,10.1,8.1,3,1.9,2.5,7.5
1895,NA,"NA",11.3,8.3,12.6,5.9,3.1,3.5,3,0.9,0.4,1.4,4.7,0.5,5,5.7,9.5,10.7,4.1,1.4,2.3,6.8
1896,106,"NA",10.5,8.3,7.6,7.7,2.2,2.8,3.5,2.2,1.9,2.6,1.1,5.2,1.3,6.7,5.8,8.8,4.2,2.5,2.9,4.6
1897,106,"NA",8.3,8.9,10.7,3.4,5.5,3.1,4.5,4.3,2.3,2.5,2,4.4,5.9,5.2,7.5,9.3,4,3.6,2.9,6.2
1898,108,"NA",13,9.7,7.2,4.8,2.5,1,3.5,3.4,2.9,4.2,4.1,3.2,3.1,5.3,7.6,10,2.7,3.2,3.9,5.4
1899,99,"NA",12.2,13.2,8.5,7.9,5.7,3,2.5,2.6,1.7,2.1,2.7,8.2,7.8,5.1,8.4,11.3,5.5,2.3,4,7.1
1900,102,"NA",8.7,7.3,4.9,5.1,5.2,4.9,1.5,1.3,1.8,1.5,3.1,3.2,4.2,3.8,7.5,7,5,1.5,2.6,5.2
1901,102,"NA",12.1,9.1,9.6,4.8,3.4,4.6,5.3,3.8,3.5,0.9,1.8,2.3,3.1,3.7,8.5,10.3,4.3,4.2,1.6,5.2
1902,98,"NA",11.4,9.6,5.5,4.7,3,2.3,1.2,1.6,2.4,1.6,1.5,4.7,5,8.4,9.8,8.8,3.3,1.7,2.4,7.8
1903,99,"NA",12.1,10.5,9.6,7.4,9,3.8,2.6,3.7,5,2.7,3.2,4.9,7,10,8.5,10.7,6.6,3.8,3.5,8.5
1904,108,"NA",10.6,8.4,5.9,4.9,3.7,1.5,2,2.2,0.6,3.2,3.4,5.6,7.4,5.5,6,8.3,3.3,1.5,4,6.3
1905,105,"NA",7.7,8.2,6.3,6.6,6,2.7,3.8,4.1,5.1,1,2.1,4.4,3.1,5.5,10.3,7.4,5,4.3,2.3,6.4
1906,105,"NA",10.3,10.3,8.5,9.9,5,5.6,2.8,1.9,0.3,2.5,2.3,5.5,3.1,7.9,8.5,9.7,6.8,1.6,3.3,6.6
1907,103,"NA",8.8,11.3,4.6,4.4,7.2,2.2,2.7,2.9,5.6,0.9,1,1.9,4.2,5.1,6.8,8.3,4.5,3.8,1.2,5.4
1908,102,"NA",12.4,11.7,8.1,4.1,3.3,2.3,1.9,5.7,2.2,1,1.7,4.6,4.9,4.9,8.6,10.7,3.2,3.2,2.4,6.2
1909,108,"NA",10.6,6.5,6.7,4.5,4.7,4.6,2.8,2.6,2.1,1.8,2.8,1.2,5,5.5,6.3,7.9,4.6,2.5,2,5.6
1910,104,"NA",11.9,7,8.6,4.8,2.5,3.6,6.2,3.5,3.6,0.8,1.9,3.7,0.8,5.1,8,9.2,3.6,4.4,2,4.7
1911,98,"NA",12,8.9,7.1,4.4,2,2.6,1.5,2.3,4.4,3.2,3.6,4.3,7.5,7.1,8.5,9.3,3,2.8,3.6,7.7
